START TIME: Thu May 22 17:00:30 CEST 2025
Job Name: lsai
Job ID: 458236
Allocated Node(s): nid007062
Number of Tasks: 1
CPUs per Task: 72
GPUs per Node: 4
Number of Nodes: : 1
Number of Tasks per Node: 1
Current path: /workspaces
Current user: aoudrhiri
execute command on compute nodes
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
[srun] rank=0 host=nid007062 noderank=0 localrank=0
[Distributed Init] Rank 0 initialized on 0 on GPU 0.
[rank0]:[W522 17:00:57.591460469 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 0]  using GPU 0 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
[Distributed Init] Rank 1 initialized on 0 on GPU 1.
[rank1]:[W522 17:00:57.792173736 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 1]  using GPU 1 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
[Distributed Init] Rank 2 initialized on 0 on GPU 2.[Distributed Init] Rank 3 initialized on 0 on GPU 3.

[rank3]:[W522 17:01:02.677059819 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 3]  using GPU 3 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
[rank2]:[W522 17:01:02.677059691 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 2]  using GPU 2 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
[Rank 0] All ranks ready!
2025-05-22 17:01:09,299 - root - INFO - Experiment args: Namespace(dataset='/capstor/store/cscs/ethz/large-sc/datasets/train_data.parquet', tokenizer_name_or_path='unsloth/Mistral-Nemo-Base-2407-bnb-4bit', sequence_length=256, batch_size=8, fused_optimizer=False, learning_rate=5e-05, lr_warmup_steps=10, training_steps=1000, logging_frequency=5, profile=False, profile_step_start=10, profile_step_end=10, grad_max_norm=1, model_dtype='bf16', compile=False, experiment='only_dp', user='aoudrhiri', tensor_parallel=False, data_parallel=True, tp_parallel_type='feedforward')
2025-05-22 17:01:09,299 - root - INFO - Setting up DataLoaders...
2025-05-22 17:01:09,299 - root - INFO - Experiment args: Namespace(dataset='/capstor/store/cscs/ethz/large-sc/datasets/train_data.parquet', tokenizer_name_or_path='unsloth/Mistral-Nemo-Base-2407-bnb-4bit', sequence_length=256, batch_size=8, fused_optimizer=False, learning_rate=5e-05, lr_warmup_steps=10, training_steps=1000, logging_frequency=5, profile=False, profile_step_start=10, profile_step_end=10, grad_max_norm=1, model_dtype='bf16', compile=False, experiment='only_dp', user='aoudrhiri', tensor_parallel=False, data_parallel=True, tp_parallel_type='feedforward')
2025-05-22 17:01:09,299 - root - INFO - Setting up DataLoaders...
2025-05-22 17:01:09,299 - root - INFO - Experiment args: Namespace(dataset='/capstor/store/cscs/ethz/large-sc/datasets/train_data.parquet', tokenizer_name_or_path='unsloth/Mistral-Nemo-Base-2407-bnb-4bit', sequence_length=256, batch_size=8, fused_optimizer=False, learning_rate=5e-05, lr_warmup_steps=10, training_steps=1000, logging_frequency=5, profile=False, profile_step_start=10, profile_step_end=10, grad_max_norm=1, model_dtype='bf16', compile=False, experiment='only_dp', user='aoudrhiri', tensor_parallel=False, data_parallel=True, tp_parallel_type='feedforward')
2025-05-22 17:01:09,299 - root - INFO - Setting up DataLoaders...
2025-05-22 17:01:09,300 - root - INFO - Experiment args: Namespace(dataset='/capstor/store/cscs/ethz/large-sc/datasets/train_data.parquet', tokenizer_name_or_path='unsloth/Mistral-Nemo-Base-2407-bnb-4bit', sequence_length=256, batch_size=8, fused_optimizer=False, learning_rate=5e-05, lr_warmup_steps=10, training_steps=1000, logging_frequency=5, profile=False, profile_step_start=10, profile_step_end=10, grad_max_norm=1, model_dtype='bf16', compile=False, experiment='only_dp', user='aoudrhiri', tensor_parallel=False, data_parallel=True, tp_parallel_type='feedforward')
2025-05-22 17:01:09,300 - root - INFO - Setting up DataLoaders...
2025-05-22 17:01:12,046 - root - INFO - Setting up Model...
2025-05-22 17:01:12,046 - root - INFO - Setting up Model...
2025-05-22 17:01:12,046 - root - INFO - Setting up Model...
2025-05-22 17:01:14,950 - root - INFO - Setting up Model...
2025-05-22 17:01:47,144 - root - INFO - Step: 1 | Loss: 11.93 | Tokens per second: 1605.87 | Training tokens per second (%): 89.11 | MFU (%): 7.39 | TFLOPs: 73.07
2025-05-22 17:01:47,144 - root - INFO - Step: 1 | Loss: 11.93 | Tokens per second: 1450.20 | Training tokens per second (%): 89.11 | MFU (%): 6.67 | TFLOPs: 65.99
2025-05-22 17:01:48,006 - root - INFO - Step: 1 | Loss: 11.93 | Tokens per second: 2598.34 | Training tokens per second (%): 89.11 | MFU (%): 11.95 | TFLOPs: 118.23
2025-05-22 17:01:48,428 - root - INFO - Step: 5 | Loss: 10.72 | Tokens per second: 6592.10 | Training tokens per second (%): 98.43 | MFU (%): 30.33 | TFLOPs: 299.95
2025-05-22 17:01:48,444 - root - INFO - Step: 5 | Loss: 10.72 | Tokens per second: 6503.10 | Training tokens per second (%): 98.43 | MFU (%): 29.92 | TFLOPs: 295.90
2025-05-22 17:01:48,646 - root - INFO - Starting training!
2025-05-22 17:01:49,294 - root - INFO - Step: 5 | Loss: 10.72 | Tokens per second: 6567.77 | Training tokens per second (%): 98.43 | MFU (%): 30.22 | TFLOPs: 298.84
2025-05-22 17:01:49,457 - root - INFO - Step: 1 | Loss: 11.93 | Tokens per second: 2658.85 | Training tokens per second (%): 89.11 | MFU (%): 12.23 | TFLOPs: 120.98
2025-05-22 17:01:50,013 - root - INFO - Step: 10 | Loss: 9.56 | Tokens per second: 6628.34 | Training tokens per second (%): 93.41 | MFU (%): 30.50 | TFLOPs: 301.60
2025-05-22 17:01:50,054 - root - INFO - Step: 10 | Loss: 9.56 | Tokens per second: 6529.44 | Training tokens per second (%): 93.41 | MFU (%): 30.04 | TFLOPs: 297.10
2025-05-22 17:01:50,750 - root - INFO - Step: 5 | Loss: 10.72 | Tokens per second: 6544.38 | Training tokens per second (%): 98.43 | MFU (%): 30.11 | TFLOPs: 297.78
2025-05-22 17:01:50,889 - root - INFO - Step: 10 | Loss: 9.56 | Tokens per second: 6587.60 | Training tokens per second (%): 93.41 | MFU (%): 30.31 | TFLOPs: 299.75
2025-05-22 17:01:51,641 - root - INFO - Step: 15 | Loss: 8.89 | Tokens per second: 6455.82 | Training tokens per second (%): 96.70 | MFU (%): 29.70 | TFLOPs: 293.75
2025-05-22 17:01:51,705 - root - INFO - Step: 15 | Loss: 8.89 | Tokens per second: 6357.51 | Training tokens per second (%): 96.70 | MFU (%): 29.25 | TFLOPs: 289.28
2025-05-22 17:01:52,347 - root - INFO - Step: 10 | Loss: 9.56 | Tokens per second: 6583.05 | Training tokens per second (%): 93.41 | MFU (%): 30.29 | TFLOPs: 299.54
2025-05-22 17:01:52,520 - root - INFO - Step: 15 | Loss: 8.89 | Tokens per second: 6442.06 | Training tokens per second (%): 96.70 | MFU (%): 29.64 | TFLOPs: 293.12
2025-05-22 17:01:53,235 - root - INFO - Step: 20 | Loss: 8.29 | Tokens per second: 6592.15 | Training tokens per second (%): 95.21 | MFU (%): 30.33 | TFLOPs: 299.95
2025-05-22 17:01:53,324 - root - INFO - Step: 20 | Loss: 8.29 | Tokens per second: 6492.07 | Training tokens per second (%): 95.21 | MFU (%): 29.87 | TFLOPs: 295.40
2025-05-22 17:01:53,979 - root - INFO - Step: 15 | Loss: 8.89 | Tokens per second: 6432.86 | Training tokens per second (%): 96.70 | MFU (%): 29.60 | TFLOPs: 292.70
2025-05-22 17:01:54,127 - root - INFO - Step: 20 | Loss: 8.29 | Tokens per second: 6540.71 | Training tokens per second (%): 95.21 | MFU (%): 30.09 | TFLOPs: 297.61
2025-05-22 17:01:54,840 - root - INFO - Step: 25 | Loss: 8.09 | Tokens per second: 6546.46 | Training tokens per second (%): 94.34 | MFU (%): 30.12 | TFLOPs: 297.87
2025-05-22 17:01:54,952 - root - INFO - Step: 25 | Loss: 8.09 | Tokens per second: 6451.45 | Training tokens per second (%): 94.34 | MFU (%): 29.68 | TFLOPs: 293.55
2025-05-22 17:01:55,588 - root - INFO - Step: 20 | Loss: 8.29 | Tokens per second: 6532.03 | Training tokens per second (%): 95.21 | MFU (%): 30.05 | TFLOPs: 297.22
2025-05-22 17:01:55,748 - root - INFO - Step: 25 | Loss: 8.09 | Tokens per second: 6480.73 | Training tokens per second (%): 94.34 | MFU (%): 29.82 | TFLOPs: 294.88
2025-05-22 17:01:56,423 - root - INFO - Step: 30 | Loss: 7.82 | Tokens per second: 6640.63 | Training tokens per second (%): 91.93 | MFU (%): 30.55 | TFLOPs: 302.16
2025-05-22 17:01:56,562 - root - INFO - Step: 30 | Loss: 7.82 | Tokens per second: 6523.66 | Training tokens per second (%): 91.93 | MFU (%): 30.01 | TFLOPs: 296.84
2025-05-22 17:01:57,209 - root - INFO - Step: 25 | Loss: 8.09 | Tokens per second: 6482.42 | Training tokens per second (%): 94.34 | MFU (%): 29.82 | TFLOPs: 294.96
