START TIME: Thu May 22 16:01:17 CEST 2025
Job Name: lsai
Job ID: 458091
Allocated Node(s): nid006489
Number of Tasks: 1
CPUs per Task: 72
GPUs per Node: 4
Number of Nodes: : 1
Number of Tasks per Node: 1
Current path: /workspaces
Current user: aoudrhiri
execute command on compute nodes
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
[srun] rank=0 host=nid006489 noderank=0 localrank=0
[Distributed Init] Rank 0 initialized on 0 on GPU 0.
[rank0]:[W522 16:01:54.140933990 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 0]  using GPU 0 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
[Distributed Init] Rank 3 initialized on 0 on GPU 3.
[rank3]:[W522 16:01:54.236049062 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 3]  using GPU 3 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
[Distributed Init] Rank 2 initialized on 0 on GPU 2.
[rank2]:[W522 16:01:54.261779717 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 2]  using GPU 2 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
[Distributed Init] Rank 1 initialized on 0 on GPU 1.
[rank1]:[W522 16:01:54.311724686 ProcessGroupNCCL.cpp:4454] [PG ID 0 PG GUID 0 Rank 1]  using GPU 1 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. Specify device_ids in barrier() to force use of a particular device, or call init_process_group() with a device_id.
[Rank 0] All ranks ready!
2025-05-22 16:02:04,387 - root - INFO - Experiment args: Namespace(dataset='/capstor/store/cscs/ethz/large-sc/datasets/train_data.parquet', tokenizer_name_or_path='unsloth/Mistral-Nemo-Base-2407-bnb-4bit', sequence_length=4096, batch_size=1, fused_optimizer=False, learning_rate=5e-05, lr_warmup_steps=10, training_steps=1000, logging_frequency=5, profile=False, profile_step_start=10, profile_step_end=10, grad_max_norm=1, model_dtype='bf16', compile=False, experiment='tp_global_no_dp', user='aoudrhiri', tensor_parallel=True, data_parallel=False, tp_parallel_type='global')
2025-05-22 16:02:04,387 - root - INFO - Setting up DataLoaders...
2025-05-22 16:02:04,388 - root - INFO - Experiment args: Namespace(dataset='/capstor/store/cscs/ethz/large-sc/datasets/train_data.parquet', tokenizer_name_or_path='unsloth/Mistral-Nemo-Base-2407-bnb-4bit', sequence_length=4096, batch_size=1, fused_optimizer=False, learning_rate=5e-05, lr_warmup_steps=10, training_steps=1000, logging_frequency=5, profile=False, profile_step_start=10, profile_step_end=10, grad_max_norm=1, model_dtype='bf16', compile=False, experiment='tp_global_no_dp', user='aoudrhiri', tensor_parallel=True, data_parallel=False, tp_parallel_type='global')
2025-05-22 16:02:04,388 - root - INFO - Experiment args: Namespace(dataset='/capstor/store/cscs/ethz/large-sc/datasets/train_data.parquet', tokenizer_name_or_path='unsloth/Mistral-Nemo-Base-2407-bnb-4bit', sequence_length=4096, batch_size=1, fused_optimizer=False, learning_rate=5e-05, lr_warmup_steps=10, training_steps=1000, logging_frequency=5, profile=False, profile_step_start=10, profile_step_end=10, grad_max_norm=1, model_dtype='bf16', compile=False, experiment='tp_global_no_dp', user='aoudrhiri', tensor_parallel=True, data_parallel=False, tp_parallel_type='global')
2025-05-22 16:02:04,388 - root - INFO - Setting up DataLoaders...
2025-05-22 16:02:04,388 - root - INFO - Setting up DataLoaders...
2025-05-22 16:02:04,388 - root - INFO - Experiment args: Namespace(dataset='/capstor/store/cscs/ethz/large-sc/datasets/train_data.parquet', tokenizer_name_or_path='unsloth/Mistral-Nemo-Base-2407-bnb-4bit', sequence_length=4096, batch_size=1, fused_optimizer=False, learning_rate=5e-05, lr_warmup_steps=10, training_steps=1000, logging_frequency=5, profile=False, profile_step_start=10, profile_step_end=10, grad_max_norm=1, model_dtype='bf16', compile=False, experiment='tp_global_no_dp', user='aoudrhiri', tensor_parallel=True, data_parallel=False, tp_parallel_type='global')
2025-05-22 16:02:04,388 - root - INFO - Setting up DataLoaders...
2025-05-22 16:02:12,252 - root - INFO - Setting up Model...
2025-05-22 16:02:12,252 - root - INFO - Setting up Model...
2025-05-22 16:02:12,252 - root - INFO - Setting up Model...
2025-05-22 16:02:12,252 - root - INFO - Setting up Model...
2025-05-22 16:02:51,069 - root - INFO - Starting training!
2025-05-22 16:02:52,611 - root - INFO - Step: 1 | Loss: 11.93 | Tokens per second: 2658.42 | Training tokens per second (%): 19.38 | MFU (%): 13.85 | TFLOPs: 137.02
2025-05-22 16:02:52,615 - root - INFO - Step: 1 | Loss: 11.93 | Tokens per second: 2655.56 | Training tokens per second (%): 19.38 | MFU (%): 13.84 | TFLOPs: 136.87
2025-05-22 16:02:52,617 - root - INFO - Step: 1 | Loss: 11.93 | Tokens per second: 2646.77 | Training tokens per second (%): 19.38 | MFU (%): 13.79 | TFLOPs: 136.42
2025-05-22 16:02:52,619 - root - INFO - Step: 1 | Loss: 11.93 | Tokens per second: 2649.52 | Training tokens per second (%): 19.38 | MFU (%): 13.81 | TFLOPs: 136.56
2025-05-22 16:02:54,825 - root - INFO - Step: 5 | Loss: 11.31 | Tokens per second: 7402.28 | Training tokens per second (%): 11.41 | MFU (%): 38.58 | TFLOPs: 381.52
2025-05-22 16:02:54,831 - root - INFO - Step: 5 | Loss: 11.31 | Tokens per second: 7395.13 | Training tokens per second (%): 11.41 | MFU (%): 38.54 | TFLOPs: 381.15
2025-05-22 16:02:54,833 - root - INFO - Step: 5 | Loss: 11.31 | Tokens per second: 7394.91 | Training tokens per second (%): 11.41 | MFU (%): 38.54 | TFLOPs: 381.14
2025-05-22 16:02:54,836 - root - INFO - Step: 5 | Loss: 11.31 | Tokens per second: 7392.29 | Training tokens per second (%): 11.41 | MFU (%): 38.52 | TFLOPs: 381.01
2025-05-22 16:02:57,314 - root - INFO - Step: 10 | Loss: 10.36 | Tokens per second: 8234.72 | Training tokens per second (%): 25.72 | MFU (%): 42.91 | TFLOPs: 424.43
2025-05-22 16:02:57,318 - root - INFO - Step: 10 | Loss: 10.36 | Tokens per second: 8238.49 | Training tokens per second (%): 25.72 | MFU (%): 42.93 | TFLOPs: 424.62
2025-05-22 16:02:57,320 - root - INFO - Step: 10 | Loss: 10.36 | Tokens per second: 8240.32 | Training tokens per second (%): 25.72 | MFU (%): 42.94 | TFLOPs: 424.72
2025-05-22 16:02:57,323 - root - INFO - Step: 10 | Loss: 10.36 | Tokens per second: 8238.67 | Training tokens per second (%): 25.72 | MFU (%): 42.94 | TFLOPs: 424.63
2025-05-22 16:02:59,840 - root - INFO - Step: 15 | Loss: 9.58 | Tokens per second: 8110.90 | Training tokens per second (%): 35.21 | MFU (%): 42.27 | TFLOPs: 418.05
2025-05-22 16:02:59,845 - root - INFO - Step: 15 | Loss: 9.58 | Tokens per second: 8107.63 | Training tokens per second (%): 35.21 | MFU (%): 42.25 | TFLOPs: 417.88
2025-05-22 16:02:59,847 - root - INFO - Step: 15 | Loss: 9.58 | Tokens per second: 8107.06 | Training tokens per second (%): 35.21 | MFU (%): 42.25 | TFLOPs: 417.85
2025-05-22 16:02:59,849 - root - INFO - Step: 15 | Loss: 9.58 | Tokens per second: 8113.31 | Training tokens per second (%): 35.21 | MFU (%): 42.28 | TFLOPs: 418.17
2025-05-22 16:03:02,356 - root - INFO - Step: 20 | Loss: 8.98 | Tokens per second: 8142.66 | Training tokens per second (%): 34.78 | MFU (%): 42.44 | TFLOPs: 419.68
2025-05-22 16:03:02,363 - root - INFO - Step: 20 | Loss: 8.98 | Tokens per second: 8138.61 | Training tokens per second (%): 34.78 | MFU (%): 42.41 | TFLOPs: 419.47
2025-05-22 16:03:02,364 - root - INFO - Step: 20 | Loss: 8.98 | Tokens per second: 8140.27 | Training tokens per second (%): 34.78 | MFU (%): 42.42 | TFLOPs: 419.56
2025-05-22 16:03:02,369 - root - INFO - Step: 20 | Loss: 8.98 | Tokens per second: 8129.23 | Training tokens per second (%): 34.78 | MFU (%): 42.37 | TFLOPs: 418.99
2025-05-22 16:03:04,848 - root - INFO - Step: 25 | Loss: 8.68 | Tokens per second: 8223.34 | Training tokens per second (%): 18.28 | MFU (%): 42.86 | TFLOPs: 423.84
2025-05-22 16:03:04,854 - root - INFO - Step: 25 | Loss: 8.68 | Tokens per second: 8224.09 | Training tokens per second (%): 18.28 | MFU (%): 42.86 | TFLOPs: 423.88
2025-05-22 16:03:04,857 - root - INFO - Step: 25 | Loss: 8.68 | Tokens per second: 8217.60 | Training tokens per second (%): 18.28 | MFU (%): 42.83 | TFLOPs: 423.54
2025-05-22 16:03:04,859 - root - INFO - Step: 25 | Loss: 8.68 | Tokens per second: 8229.17 | Training tokens per second (%): 18.28 | MFU (%): 42.89 | TFLOPs: 424.14
2025-05-22 16:03:07,356 - root - INFO - Step: 30 | Loss: 8.25 | Tokens per second: 8168.36 | Training tokens per second (%): 26.99 | MFU (%): 42.57 | TFLOPs: 421.01
2025-05-22 16:03:07,362 - root - INFO - Step: 30 | Loss: 8.25 | Tokens per second: 8170.39 | Training tokens per second (%): 26.99 | MFU (%): 42.58 | TFLOPs: 421.11
2025-05-22 16:03:07,364 - root - INFO - Step: 30 | Loss: 8.25 | Tokens per second: 8173.53 | Training tokens per second (%): 26.99 | MFU (%): 42.60 | TFLOPs: 421.27
